milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
a wagon rolling is an example of an object in motion  & (S (NP (DT a) (NN wagon) (VP (NN rolling))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NP (DT an) (NN object)) (PP (IN in) (NP (NN motion)))))))) 
shelter and food have positive impact on ants  & (S (NP (NN shelter) (CC and) (NN food)) (VP (VBP have) (NP (NP (JJ positive) (NN impact)) (PP (IN on) (NP (NNS ants)))))) 
a mineral is soft  & (S (NP (DT a) (NN mineral)) (VP (VBZ is) (ADJP (JJ soft)))) 
the respiratory system and circulatory system bring oxygen from the air to the rest of the body  & (S (NP (DT the) (JJ respiratory) (NN system) (CC and) (NP (JJ circulatory) (NN system))) (VP (VBP bring) (NP (NN oxygen)) (PP (IN from) (NP (DT the) (NN air))) (PP (IN to) (NP (NP (DT the) (NN rest)) (PP (IN of) (NP (DT the) (NN body))))))) 
destroying something is a kind of method for getting rid of something  & (S (S (VP (VBG destroying) (NP (NN something)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN method)) (IN for) (S (VP (VBG getting) (ADJP (VBN rid) (PP (IN of) (NP (NN something))))))))))) 
the ability to refract is a property of waves  & (S (NP (DT the) (NN ability) (S (VP (TO to) (VP (VB refract))))) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NNS waves)))))) 
the swelling of throat tissues is a kind of condition that can result from infection  & (S (NP (NP (DT the) (NN swelling)) (PP (IN of) (NP (JJ throat) (NNS tissues)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (IN of) (NP (NN condition)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB result) (PP (IN from) (NP (NN infection)))))))))) 
being used for is similar to providing  & (S (S (VP (VBG being) (VP (VBN used) (PP (IN for))))) (VBZ is) (JJ similar) (PP (IN to) (S (VP (VBG providing))))) 
cleavage is a property of mineral  & (S (NP (NN cleavage)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN mineral)))))) 
fruit juice is a kind of drink  & (S (NP (NNP fruit) (NNP juice)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN drink)))))) 
organic material contains high amounts of carbon  & (S (NP (JJ organic) (NN material)) (VP (VBZ contains) (NP (NP (JJ high) (NNS amounts)) (PP (IN of) (NP (NN carbon)))))) 
if the surface sediment is not porous then the surface sediment will not absorb enough water to prevent flooding  & (S (SBAR (IN if) (S (NP (DT the) (NN surface) (NN sediment)) (VP (VBZ is) (ADJP (RB not) (ADJP (JJ porous)))))) (RB then) (NP (DT the) (NN surface) (NN sediment)) (VP (MD will) (RB not) (VP (VB absorb) (NP (NP (JJ enough) (NN water)) (S (VP (TO to) (VP (VB prevent) (NP (NN flooding))))))))) 
a person speaking is a source of sound  & (S (NP (NP (DT a) (NN person)) (VP (VBG speaking))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN sound)))))) 
wind direction is a kind of information about weather  & (S (NP (NN wind) (NN direction)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN information)) (PP (IN about) (NP (NN weather)))))))) 
nonrenewable resources forming can take millions of years  & (S (NP (NP (JJ nonrenewable) (NNS resources)) (VP (VBG forming))) (VP (MD can) (VP (VB take) (NP (NP (NNS millions)) (PP (IN of) (NP (NNS years))))))) 
clearing trees from a forest means cutting down trees in that forest  & (S (NP (NN clearing) (NP (NNS trees)) (PP (IN from) (NP (DT a) (NN forest)))) (VP (VBZ means) (S (VP (VBG cutting) (PRT (RP down)) (NP (NNS trees)) (PP (IN in) (NP (DT that) (NN forest))))))) 
air is a kind of gas  & (S (NP (NN air)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN gas)))))) 
eating crops has a positive impact on a human s survival  & (S (S (VP (VBG eating) (NP (NNS crops)))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT a) (JJ human) (JJ s) (NN survival)))))) 
sunlight can travel through a hole in a forest canopy  & (S (NP (NN sunlight)) (VP (MD can) (VP (VB travel) (PP (IN through) (NP (DT a) (NN hole)) (PP (IN in) (NP (DT a) (NN forest) (NN canopy))))))) 
feathers are a characteristic all of birds and feathers are not a part of any other vertebrate  & (S (NP (NNS feathers)) (VP (VBP are) (NP (DT a) (JJ characteristic)) (NP (NP (DT all)) (PP (IN of) (NP (NNS birds) (CC and) (NNS feathers)))) (VP (VBP are) (RB not) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT any) (JJ other) (NN vertebrate))))))) 
how earth s environment changed is a part of the history of earth s environment  & (S (SBAR (WRB how) (NP (NNP earth) (POS s)) (NN environment) (VP (VBD changed))) (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (DT the) (NN history)) (PP (IN of) (NP (NN earth) (NN s) (NN environment))))))) 
spiral galaxy is a type of galaxy  & (S (NP (NNP spiral) (NNP galaxy)) (VP (VBZ is) (NP (NP (DT a) (NN type)) (PP (IN of) (NP (NN galaxy)))))) 
algae is found in a lake  & (S (NP (NN algae)) (VP (VBZ is) (VP (VBN found) (PP (IN in) (NP (DT a) (NN lake)))))) 
action means activity  & (S (NP (NN action)) (VP (VBZ means) (NP (NN activity)))) 
soda water is a kind of carbonated beverage  & (S (NP (NNP soda) (NNP water)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ carbonated) (NN beverage)))))) 
metal is flexible  & (S (NP (NN metal)) (VP (VBZ is) (ADJP (JJ flexible)))) 
mimicry is used for avoiding predators by animals by camouflaging as a dangerous animal  & (S (NP (NNP mimicry)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG avoiding) (NP (NNS predators)) (PP (IN by) (NP (NNS animals)))))) (IN by) (S (VP (VBG camouflaging) (PP (IN as) (NP (DT a) (JJ dangerous) (NN animal)))))))) 
a blacktop has a smooth surface  & (S (NP (DT a) (NN blacktop)) (VP (VBZ has) (NP (DT a) (JJ smooth) (NN surface)))) 
different seasons occur during different times of the year  & (S (NP (JJ different) (NNS seasons)) (VP (VBP occur) (PP (IN during) (NP (NP (JJ different) (NNS times)) (PP (IN of) (NP (DT the) (NN year))))))) 
photosynthesis requires light  & (S (NP (NN photosynthesis)) (VP (VBZ requires) (NP (JJ light)))) 
ice is cold in temperature  & (S (NP (NN ice)) (VP (VBZ is) (ADJP (JJ cold) (PP (IN in) (NP (NN temperature)))))) 
a balloon is a kind of object  & (S (NP (DT a) (NN balloon)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a dinosaur is a kind of ancient organism  & (S (NP (DT a) (NN dinosaur)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ ancient) (NN organism)))))) 
metamorphic rocks are formed by being exposed to great heat and pressure  & (S (NP (JJ metamorphic) (NNS rocks)) (VP (VBP are) (VP (VBN formed) (IN by) (S (VP (VBG being) (VP (VBN exposed) (PP (IN to) (NP (JJ great) (NN heat) (CC and) (NN pressure))))))))) 
plasma is a kind of state of matter  & (S (NP (NNP plasma)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN state)) (PP (IN of) (NP (NN matter)))))))) 
producing a bad odor is a kind of method for avoiding predators used by skunks  & (S (S (VP (VBG producing) (NP (DT a) (JJ bad) (NN odor)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN method)) (PP (IN for) (S (VP (VBG avoiding) (NP (NP (NNS predators)) (VP (VBN used) (PP (IN by) (NP (NNS skunks)))))))))))) 
plants have a positive impact on air quality by producing oxygen through photosynthesis  & (S (NP (NNS plants)) (VP (VBP have) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (NN air) (NN quality)))) (PP (IN by) (S (VP (VBG producing) (NP (NN oxygen)) (PP (IN through) (NP (NN photosynthesis)))))))) 
quarts qt is a imperial unit used for measuring volume generally used for values between 10 and 40  & (S (NP (NP (NNS quarts)) (NNP qt)) (VP (VBZ is) (NP (NP (DT a) (JJ imperial) (NN unit)) (VP (VBN used) (PP (IN for) (S (VP (VBG measuring) (NP (NP (NN volume)) (ADVP (RB generally)) (VBN used) (PP (IN for) (NP (NP (NNS values)) (PP (IN between) (NP (CD 10) (CC and) (CD 40))))))))))))) 
one in four is the same as 25   & (S (NP (NP (CD one)) (PP (IN in) (NP (CD four)))) (VP (VBZ is) (NP (NP (DT the) (JJ same)) (PP (IN as) (NP (CD 25)))))) 
the total number of atoms stay the same in photosynthesis  & (S (NP (NP (DT the) (JJ total) (NN number)) (PP (IN of) (NP (NNS atoms)))) (VP (VBP stay) (NP (DT the) (JJ same)) (PP (IN in) (NP (NN photosynthesis))))) 
the water in the salt water solution will increase in heat energy  & (S (NP (NP (DT the) (NN water)) (PP (IN in) (NP (DT the) (NN salt) (NN water) (NN solution)))) (VP (MD will) (VP (VB increase) (PP (IN in) (NP (NN heat) (NN energy)))))) 
using the fuel requires burning the fuel  & (S (S (VP (VBG using) (NP (DT the) (NN fuel)))) (VP (VBZ requires) (S (VP (VBG burning) (NP (DT the) (NN fuel)))))) 
the heart is situated in the chest  & (S (NP (DT the) (NN heart)) (VP (VBZ is) (VP (VBN situated) (PP (IN in) (NP (DT the) (NN chest)))))) 
a snake is a kind of animal  & (S (NP (DT a) (NN snake)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN animal)))))) 
circulation in the circulatory system transports blood throughout the body  & (S (NP (NP (NN circulation)) (PP (IN in) (NP (DT the) (JJ circulatory) (NN system)))) (VP (VBZ transports) (NP (NN blood)) (PP (IN throughout) (NP (DT the) (NN body))))) 
the location of an object can be used to describe that object  & (S (NP (NP (DT the) (NN location)) (PP (IN of) (NP (DT an) (NN object)))) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB describe) (NP (DT that) (NN object))))))))) 
if cumulus clouds appear in a location then the weather of that day will be fair  & (S (IN if) (S (NP (JJ cumulus) (NNS clouds)) (VP (VBP appear) (PP (IN in) (NP (DT a) (NN location))))) (ADVP (RB then)) (NP (NP (DT the) (NN weather)) (PP (IN of) (NP (DT that) (NN day)))) (VP (MD will) (VP (VB be) (ADJP (JJ fair))))) 
a basketball is a kind of object  & (S (NP (DT a) (NN basketball)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a sheet of construction paper is a kind of object  & (S (NP (NP (DT a) (NN sheet)) (PP (IN of) (NP (NN construction) (NN paper)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
mantle is the layer located below the crust of the earth  & (S (NP (NNP mantle)) (VP (VBZ is) (NP (NP (DT the) (NN layer)) (VBN located) (PP (IN below) (NP (NP (DT the) (NN crust)) (PP (IN of) (NP (DT the) (NN earth)))))))) 
experimentation requires measuring  & (S (NP (NN experimentation)) (VP (VBZ requires) (S (VP (VBG measuring))))) 
a species means a group of a certain kind of animal  & (S (NP (DT a) (NN species)) (VP (VBZ means) (NP (NP (DT a) (NN group)) (PP (IN of) (NP (NP (DT a) (JJ certain) (NN kind)) (PP (IN of) (NP (NN animal)))))))) 
a compost pile is used for recycling plants  & (S (NP (DT a) (NN compost) (NN pile)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (NP (VBG recycling) (NNS plants)))))) 
water is a kind of natural resource from the environment that humans depend on  & (S (NP (NN water)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ natural) (NN resource))) (PP (IN from) (NP (NP (DT the) (NN environment)) (SBAR (WHNP (WDT that)) (S (NP (NNS humans)) (VP (VBP depend) (PP (IN on)))))))))) 
the student wants to grow roses  & (S (NP (DT the) (NN student)) (VP (VBZ wants) (S (VP (TO to) (VP (VB grow) (NP (NNS roses))))))) 
fur is a part of a mouse  & (S (NP (NN fur)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT a) (NN mouse)))))) 
lighting a match is an example of chemical change  & (S (S (VP (VBG lighting) (NP (DT a) (NN match)))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NN chemical) (NN change)))))) 
metamorphosis is when an amphibian changes from an immature form to an adult form  & (S (NP (NN metamorphosis)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (JJ amphibian)) (VP (VBZ changes) (PP (IN from) (NP (DT an) (JJ immature) (NN form))) (PP (IN to) (NP (DT an) (NN adult) (NN form)))))))) 
Mars is a kind of inner planet  & (S (NP (NNP Mars)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ inner) (NN planet)))))) 
centimeter is a better unit to measure the length of the string  & (S (NP (NNP centimeter)) (VP (VBZ is) (NP (NP (DT a) (JJR better) (NN unit)) (SBAR (S (VP (TO to) (VP (VB measure) (NP (NP (DT the) (NN length)) (PP (IN of) (NP (DT the) (NN string))))))))))) 
the intestines are a part of an animal s digestive system for digesting food  & (S (NP (DT the) (NNS intestines)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (NP (DT an) (NN animal) (POS s)) (JJ digestive) (NN system)) (PP (IN for) (S (VP (VBG digesting) (NP (NN food)))))))))) 
electromagnetic energy is a kind of energy  & (S (NP (JJ electromagnetic) (NN energy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN energy)))))) 
earth is a kind of celestial object  & (S (NP (NN earth)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ celestial) (NN object)))))) 
bark is a kind of sound  & (S (NP (NNP bark)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN sound)))))) 
cross  pollination increases genetic diversity  & (S (NP (VB cross) (NN pollination)) (VP (VBZ increases) (NP (JJ genetic) (NN diversity)))) 
some scavengers eat dead fish  & (S (NP (DT some) (NNS scavengers)) (VP (VBP eat) (NP (JJ dead) (NN fish)))) 
amplitude is a property of wave  & (S (NP (NNP amplitude)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN wave)))))) 
microscopic means very small in size  & (S (JJ microscopic) (VP (VBZ means) (ADJP (ADJP (RB very) (JJ small)) (PP (IN in) (NP (NN size)))))) 
a tricep is a kind of muscle  & (S (NP (DT a) (NNP tricep)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN muscle)))))) 
the energy transformation in wax is from chemical energy to light and heat energy  & (S (NP (NP (DT the) (NN energy) (NN transformation)) (PP (IN in) (NP (NN wax)))) (VP (VBZ is) (PP (PP (IN from) (NP (JJ chemical) (NN energy))) (PP (IN to) (NP (NN light) (CC and) (VB heat) (NN energy)))))) 
the looseness of soil increases the amount of oxygen in that soil  & (S (NP (NP (DT the) (NN looseness)) (PP (IN of) (NP (NN soil)))) (VP (VBZ increases) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NN oxygen))) (PP (IN in) (NP (DT that) (NN soil)))))) 
earth rotating on its axis causes the cycle of day and night on earth  & (S (NP (NP (NN earth)) (VP (VBG rotating) (PP (IN on) (NP (PRP$ its) (NN axis))))) (VP (VBZ causes) (NP (NP (DT the) (NN cycle)) (PP (IN of) (NP (NN day) (CC and) (NN night))) (PP (IN on) (NP (NN earth)))))) 
basalt is more dense than granite  & (S (NP (NNP basalt)) (VP (VBZ is) (ADJP (ADJP (RBR more) (JJ dense)) (PP (IN than) (NP (NN granite)))))) 
if one object absorbs more energy than another object then the object will be warmer  & (S (SBAR (IN if) (S (NP (CD one) (NN object)) (VP (VBZ absorbs) (NP (NP (JJR more) (NN energy)) (PP (IN than) (NP (DT another) (NN object))))))) (ADVP (RB then)) (NP (DT the) (NN object)) (VP (MD will) (VP (VB be) (ADJP (JJR warmer))))) 
radiometric dating requires the radioactive isotope content of a rock  & (S (NP (JJ radiometric) (NN dating)) (VP (VBZ requires) (NP (NP (DT the) (JJ radioactive) (NN isotope) (NN content)) (PP (IN of) (NP (DT a) (NN rock)))))) 
the chemical symbol for bromine is Br  & (S (NP (NP (DT the) (NNP chemical) (NN symbol)) (PP (IN for) (NP (NN bromine)))) (VP (VBZ is) (PP (IN Br)))) 
the altitude of the soccer ball is increasing  & (S (NP (NP (DT the) (NN altitude)) (PP (IN of) (NP (DT the) (NN soccer) (NN ball)))) (VP (VBZ is) (VP (VBG increasing)))) 
the diaphragm is a part of the respiratory system  & (S (NP (DT the) (NNP diaphragm)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (JJ respiratory) (NN system)))))) 
fossil fuels can not be renewable  & (S (NP (JJ fossil) (NNS fuels)) (VP (MD can) (RB not) (VP (VB be) (ADJP (JJ renewable))))) 
fossil fuel is a part of the lithosphere  & (S (NP (JJ fossil) (NN fuel)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (DT the) (NNP lithosphere)))))) 
temperature is a measure of the total kinetic energy of an object  & (S (NP (NN temperature)) (VP (VBZ is) (NP (NP (DT a) (NN measure)) (PP (IN of) (NP (NP (DT the) (JJ total) (JJ kinetic) (NN energy)) (PP (IN of) (NP (DT an) (NN object)))))))) 
wood has a smooth surface  & (S (NP (NN wood)) (VP (VBZ has) (NP (DT a) (JJ smooth) (NN surface)))) 
birds sometimes eat insects  & (S (NP (NNS birds)) (ADVP (RB sometimes)) (VP (VBP eat) (NP (NNS insects)))) 
warm ocean currents move to cooler ocean regions by convection  & (S (NP (NNP warm) (NN ocean) (NNS currents)) (VP (VBP move) (PP (TO to) (NP (VB cooler) (NN ocean) (NNS regions))) (PP (IN by) (NP (NN convection))))) 
an aluminum can is a kind of object  & (S (NP (DT an) (NN aluminum) (MD can)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a body is cooled by sweat absorbing heat as it evaporates  & (S (NP (DT a) (NN body)) (VP (VBZ is) (VP (VBN cooled) (PP (IN by) (NP (NN sweat))) (VBG absorbing) (NP (NN heat)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ evaporates))))))) 
losing or gaining electrons causes the electrical charge of an atom to be unbalanced  & (S (S (VP (VP (VBG losing)) (CC or) (S (VP (VBG gaining) (NP (NNS electrons)))))) (VP (VBZ causes) (S (NP (NP (DT the) (JJ electrical) (NN charge)) (PP (IN of) (NP (DT an) (NN atom)))) (S (VP (TO to) (VP (VB be) (ADJP (JJ unbalanced)))))))) 
if something occurs by performing an action then performing that action is required for that something to occur  & (SBAR (IN if) (S (S (NP (NN something)) (VP (VBZ occurs) (PP (IN by) (S (VP (VBG performing) (NP (DT an) (NN action)) (ADVP (RB then)) (S (VP (VBG performing) (NP (IN that) (NN action))))))))) (VP (VBZ is) (VP (VBN required) (PP (IN for) (NP (NP (DT that) (NN something)) (VP (TO to) (VP (VB occur))))))))) 
sensing food has a positive impact on finding food  & (S (VP (VBG sensing) (NP (NN food)) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (S (VP (VBG finding) (NP (NN food))))))))) 
deposition of material is a kind of factor  & (S (NP (NP (NN deposition)) (PP (IN of) (NP (NN material)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN factor)))))) 
the floor is at the bottom of a room  & (S (NP (DT the) (NN floor)) (VP (VBZ is) (PP (IN at) (NP (NP (DT the) (NN bottom)) (PP (IN of) (NP (DT a) (NN room))))))) 
history occurred a long time ago  & (S (NP (NN history)) (VP (VBD occurred) (ADVP (NP (DT a) (JJ long) (NN time)) (RB ago)))) 
many animals blend in with their environment to hide from predators  & (S (NP (JJ many) (NNS animals)) (VP (VBP blend) (PRT (RP in)) (PP (IN with) (NP (PRP$ their) (NN environment))) (TO to) (VP (VB hide) (PP (IN from) (NP (NNS predators)))))) 
